source_id,drug_key,japanese_name,generic_name,product_examples,source_type,url_or_query,verification_status,required_human_action,notes
PMDA_QUERY_IBUDILAST,ibudilast,イブジラスト,ibudilast,ケタスカプセル等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イブジラスト ibudilast ケタスカプセル等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症めまいの文脈で質問されやすい。急性期脳梗塞治療薬として出してはいけない。
PMDA_QUERY_IFENPRODIL,ifenprodil,イフェンプロジル酒石酸塩,ifenprodil tartrate,セロクラール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イフェンプロジル酒石酸塩 ifenprodil tartrate セロクラール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症・脳出血後遺症のめまいで重要。頭蓋内出血後止血未完成では禁忌/注意が必要。
PMDA_QUERY_NICERGOLINE,nicergoline,ニセルゴリン,nicergoline,サアミオン錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ニセルゴリン nicergoline サアミオン錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症の意欲低下で質問されやすい。急性期治療や認知症万能薬として出してはいけない。
PMDA_QUERY_AMANTADINE,amantadine,アマンタジン塩酸塩,amantadine hydrochloride,シンメトレル錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 アマンタジン塩酸塩 amantadine hydrochloride シンメトレル錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,腎機能・高齢者・幻覚せん妄・インフルエンザ/パーキンソン病適応との混同が重要。
PMDA_QUERY_TIAPRIDE,tiapride,チアプリド,tiapride hydrochloride,グラマリール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 チアプリド tiapride hydrochloride グラマリール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳梗塞後遺症の行動症状で使われるが、抗精神病薬様副作用、錐体外路症状、QT、嚥下/転倒リスクを分ける必要がある。
PMDA_QUERY_CITICOLINE,citicoline,シチコリン,citicoline,ニコリン注射液等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 シチコリン citicoline ニコリン注射液等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳外病棟で意識障害・リハビリ文脈に出る。適応条件が複雑なのでRAGが雑に推奨しないようprofile化する。
PMDA_QUERY_MECLOFENOXATE_INJECTION,meclofenoxate_injection,メクロフェノキサート塩酸塩（注射）,meclofenoxate hydrochloride,注射用ルシドリール,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 メクロフェノキサート塩酸塩（注射） meclofenoxate hydrochloride 注射用ルシドリール 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,注射と内服で文脈が違う。現行販売・供給・採用確認なしに現役薬として扱うと危険。
PMDA_QUERY_MECLOFENOXATE_ORAL,meclofenoxate_oral,メクロフェノキサート塩酸塩（内服）,meclofenoxate hydrochloride,ルシドリール錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 メクロフェノキサート塩酸塩（内服） meclofenoxate hydrochloride ルシドリール錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,頭部外傷後遺症の古い処方・資料で出る。注射剤と内服剤を分ける必要がある。
PMDA_QUERY_SOLCOSERYL_CALF_BLOOD_EXTRACT,solcoseryl_calf_blood_extract,幼牛血液抽出注射剤,calf blood extract preparation,ソルコセリル注,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 幼牛血液抽出注射剤 calf blood extract preparation ソルコセリル注 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,現行承認・販売・供給状況の確認が必須。RAGでは推奨薬として出さず、照会時に確認事項を返す。
PMDA_QUERY_ISOXSUPRINE,isoxsuprine,イソクスプリン塩酸塩,isoxsuprine hydrochloride,ズファジラン錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イソクスプリン塩酸塩 isoxsuprine hydrochloride ズファジラン錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,古い頭部外傷後遺症文脈で出る。末梢血管拡張薬としての副作用・低血圧と混同防止が必要。
PMDA_QUERY_DIHYDROERGOTOXINE,dihydroergotoxine,ジヒドロエルゴトキシンメシル酸塩,dihydroergotoxine mesilate,ヒデルギン舌下錠等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ジヒドロエルゴトキシンメシル酸塩 dihydroergotoxine mesilate ヒデルギン舌下錠等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,古い薬剤で、血管収縮/相互作用/妊娠などの注意を確認すべき。現代の推奨薬扱いは不可。
PMDA_QUERY_ADENOSINE_TRIPHOSPHATE_DISODIUM,adenosine_triphosphate_disodium,アデノシン三リン酸二ナトリウム水和物,adenosine triphosphate disodium hydrate,アデホス-Lコーワ注等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 アデノシン三リン酸二ナトリウム水和物 adenosine triphosphate disodium hydrate アデホス-Lコーワ注等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,耳鳴・めまい等でも出るため、頭部外傷後遺症の文脈と一般代謝/循環改善を混同しやすい。
PMDA_QUERY_GAMMA_AMINOBUTYRIC_ACID,gamma_aminobutyric_acid,ガンマ-アミノ酪酸,gamma-aminobutyric acid,ガンマロン錠,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ガンマ-アミノ酪酸 gamma-aminobutyric acid ガンマロン錠 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,サプリのGABAと医療用薬の取り違えが起きやすい。現行製品・医療用適応確認が必要。
PMDA_QUERY_VINPOCETINE,vinpocetine,ビンポセチン,vinpocetine,カラン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ビンポセチン vinpocetine カラン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,過去資料に出るが、現役推奨薬として出すと危険。再評価/承認状況を確認させるnegative noteが必要。
PMDA_QUERY_NILVADIPINE_OLD_CEREBRAL_INDICATION,nilvadipine_old_cerebral_indication,ニルバジピン（旧脳梗塞後遺症効能）,nilvadipine,ニバジール等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ニルバジピン（旧脳梗塞後遺症効能） nilvadipine ニバジール等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,高血圧薬としての現行適応と旧脳循環効能を混同しないため。
PMDA_QUERY_CINEPAZIDE_MALEATE,cinepazide_maleate,シネパジドマレイン酸塩,cinepazide maleate,ブレンディール等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 シネパジドマレイン酸塩 cinepazide maleate ブレンディール等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,再評価文脈に出る。現役処方候補として出さないためのnoteが必要。
PMDA_QUERY_IDEBENONE,idebenone,イデベノン,idebenone,アバン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イデベノン idebenone アバン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,厚労省資料で再評価により承認取消と説明されている。現役医療用薬として出してはいけない。
PMDA_QUERY_INDELOXAZINE,indeloxazine,インデロキサジン塩酸塩,indeloxazine hydrochloride,エレン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 インデロキサジン塩酸塩 indeloxazine hydrochloride エレン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,再評価で有用性確認不能の文脈。historical noteとして扱う。
PMDA_QUERY_BIFEMELANE,bifemelane,ビフェメラン塩酸塩,bifemelane hydrochloride,セレポート等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ビフェメラン塩酸塩 bifemelane hydrochloride セレポート等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,再評価で有用性確認不能の文脈。現役推奨薬扱いは不可。
PMDA_QUERY_PROPENTOFYLLINE,propentofylline,プロペントフィリン,propentofylline,ヘキストール等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 プロペントフィリン propentofylline ヘキストール等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,再評価で有用性確認不能の文脈。historical noteとして入れる。
PMDA_QUERY_HOPANTENATE_CALCIUM,hopantenate_calcium,ホパンテン酸カルシウム,hopantenate calcium,ホパテ等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ホパンテン酸カルシウム hopantenate calcium ホパテ等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,古い処方歴・資料で出る可能性がある。現役治療候補として出さないためのnote。
PMDA_QUERY_PYRITINOL,pyritinol,ピリチノール塩酸塩,pyritinol hydrochloride,エンボール等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ピリチノール塩酸塩 pyritinol hydrochloride エンボール等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,古い資料に出る。現役推奨薬扱いを避ける。
PMDA_QUERY_TOCOPHEROL_NICOTINATE,tocopherol_nicotinate,トコフェロールニコチン酸エステル,tocopherol nicotinate,ユベラN等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 トコフェロールニコチン酸エステル tocopherol nicotinate ユベラN等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,循環改善という語で脳循環改善薬と混同しやすい。
PMDA_QUERY_INOSITOL_HEXANICOTINATE,inositol_hexanicotinate,イノシトールヘキサニコチネート,inositol hexanicotinate,ヘキサニシット等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 イノシトールヘキサニコチネート inositol hexanicotinate ヘキサニシット等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳循環改善薬と混ぜるとRAG誤回答になりやすい。
PMDA_QUERY_HEPRONICATE,hepronicate,ヘプロニカート,hepronicate,メグリン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ヘプロニカート hepronicate メグリン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,末梢循環改善薬を脳梗塞後遺症薬として出す誤りを防ぐ。
PMDA_QUERY_LIMAPROST_ALFADEX,limaprost_alfadex,リマプロスト アルファデクス,limaprost alfadex,オパルモン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 リマプロスト アルファデクス limaprost alfadex オパルモン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,脳神経外科外来で脊柱管狭窄症文脈に出るが、脳梗塞後遺症薬ではない。
PMDA_QUERY_ALPROSTADIL,alprostadil,アルプロスタジル,alprostadil,リプル、パルクス等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 アルプロスタジル alprostadil リプル、パルクス等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,血管拡張/循環改善から脳循環改善薬に誤拡張しないため。
PMDA_QUERY_ALPROSTADIL_ALFADEX,alprostadil_alfadex,アルプロスタジル アルファデクス,alprostadil alfadex,プロスタンディン等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 アルプロスタジル アルファデクス alprostadil alfadex プロスタンディン等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,アルプロスタジル製剤群の文脈整理。脳梗塞後遺症治療として雑に提示しない。
PMDA_QUERY_BOSENTAN_DO_NOT_CONFUSE,bosentan_do_not_confuse,ボセンタン（クラゾセンタン取り違え防止）,bosentan,トラクリア等,pmda_product_level_query_required,PMDA 医療用医薬品情報検索 ボセンタン（クラゾセンタン取り違え防止） bosentan トラクリア等 添付文書 IF RMP,unresolved,PMDA検索で販売名・規格・製造販売業者・添付文書URL・IF・RMP・薬価/販売中止を確認する,ボセンタンとクラゾセンタンの取り違え防止。脳外RAGではボセンタンをSAH術後血管攣縮薬として出してはいけない。
