drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why
edaravone,エダラボン,edaravone,edaravone,ラジカット|Radicut|free radical scavenger,脳梗塞急性期・脳保護薬,acute_ischemic_stroke,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/edaravone.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_EDARAVONE_RMP_RADICUT,2026-06-03,国内脳梗塞急性期で重要。ALS適応と混同しやすく、脳外Vaultでは脳梗塞急性期文脈を明示分離する必要がある。
ozagrel,オザグレルナトリウム,ozagrel sodium,ozagrel sodium,オザグレルNa|カタクロット|キサンボン|ozagrel,TXA2合成酵素阻害薬・抗血小板/脳血管攣縮関連,acute_stroke_sah,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/ozagrel.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_OZAGREL_SAFETY_2019,2026-06-03,脳血栓症急性期とSAH術後脳血管攣縮の2文脈で重要。出血リスク、脳塞栓との鑑別、rt-PA等との併用混同が危険。
fasudil,ファスジル塩酸塩,fasudil hydrochloride,fasudil hydrochloride,エリル|fasudil|Rho kinase inhibitor,Rhoキナーゼ阻害薬・SAH術後脳血管攣縮薬,sah_vasospasm,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/fasudil.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025,2026-06-03,SAH術後脳血管攣縮で国内実務上重要。低血圧・頭蓋内出血・投与期間の安全境界を個別化すべき。
clazosentan,クラゾセンタンナトリウム,clazosentan sodium,clazosentan sodium,ピヴラッツ|Pivlaz|endothelin receptor antagonist,エンドセリン受容体拮抗薬・SAH術後脳血管攣縮薬,sah_vasospasm,S,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/clazosentan.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_CLAZOSENTAN_PIVLAZ_REVIEW,2026-06-03,2020年代以降のSAH術後血管攣縮管理で重要度が高い。肝機能・肺水腫/体液貯留・対象患者選択の確認が必要。
alteplase,アルテプラーゼ,alteplase,alteplase recombinant,rt-PA|tPA|アクチバシン|グルトパ,血栓溶解薬・急性期虚血性脳血管障害,acute_ischemic_stroke,S,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/alteplase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025;PMDA_ALTEPLASE_LABEL,2026-06-03,発症時間、画像、除外基準、抗凝固薬、抗アミロイド抗体など安全境界が多く、class扱いは危険。
argatroban,アルガトロバン水和物,argatroban,argatroban hydrate,ノバスタン|スロンノン|direct thrombin inhibitor,選択的抗トロンビン薬・急性期脳血栓症,acute_ischemic_stroke,S,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/argatroban.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_ARGATROBAN_REEXAM_2020,2026-06-03,国内で発症後48時間以内の脳血栓症急性期文脈がある。脳塞栓、出血、肝機能、併用抗血栓薬の境界管理が必要。
urokinase,ウロキナーゼ,urokinase,urokinase,urokinase|線維素溶解酵素剤,血栓溶解薬,acute_ischemic_stroke,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/acute_ischemic_stroke/urokinase.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,PMDA_UROKINASE_SAFETY_2019,2026-06-03,現代標準ではrt-PA/EVT中心だが、脳血栓症/脳塞栓鑑別・線溶薬出血リスクの安全教育上重要。
nimodipine,ニモジピン,nimodipine,nimodipine,nimodipine|calcium channel blocker,Ca拮抗薬・SAH国際標準比較対象,sah_vasospasm,A,complete_absent_comparison_needed,02_DRUG_PROFILES_SAFE_KNOWLEDGE/sah_vasospasm/nimodipine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSTS_STROKE_GL_2021_REV2025,2026-06-03,欧米SAH管理で頻出。国内薬事・採用品を確認せず日本の処方推奨にしてはいけないが、海外文献/RAG比較で必要。
diazepam,ジアゼパム,diazepam,diazepam,セルシン|ホリゾン|benzodiazepine,抗発作薬・てんかん重積初期対応,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/diazepam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,救急発作停止で重要。ミダゾラム・ロラゼパムと投与経路/剤形/呼吸抑制管理を混同しないため個別化。
lorazepam,ロラゼパム,lorazepam,lorazepam,ワイパックス|benzodiazepine,抗発作薬・てんかん重積初期対応,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/lorazepam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,てんかん重積文脈で頻出。国内剤形・施設採用・救急運用に依存するためRAG境界が必要。
phenobarbital,フェノバルビタール,phenobarbital,phenobarbital,フェノバール|barbiturate antiseizure,抗発作薬・難治発作,status_epilepticus,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/phenobarbital.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,難治発作・小児/成人の救急文脈で重要。鎮静・呼吸循環抑制・TDMを個別化する必要がある。
clobazam,クロバザム,clobazam,clobazam,マイスタン|benzodiazepine antiseizure,抗発作薬・補助療法,status_epilepticus,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/status_epilepticus/clobazam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,慢性補助抗発作薬として重要。急性発作停止薬と混同しない境界が必要。
thiopental,チオペンタールナトリウム,thiopental sodium,thiopental sodium,ラボナール|thiopental|barbiturate coma,バルビツレート・麻酔/難治性ICP,neurocritical_care,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/thiopental.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,難治性ICP/麻酔導入/痙攣重積などで文脈上重要。循環抑制と脳波/ICU管理が必要。
thiamylal,チアミラールナトリウム,thiamylal sodium,thiamylal sodium,イソゾール|thiamylal|barbiturate,バルビツレート・麻酔/難治性ICP,neurocritical_care,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/thiamylal.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,脳外麻酔・救急で使われうる。チオペンタール等との薬剤名/剤形差を混同しないため追加。
pentobarbital,ペントバルビタール,pentobarbital,pentobarbital,pentobarbital|barbiturate coma,バルビツレート・難治性ICP/難治性てんかん重積,neurocritical_care,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/pentobarbital.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,TBI_NEUROCRITICAL_REVIEW_2019,2026-06-03,海外/集中治療文献でバルビツレート昏睡として出る。国内採用・適応は別確認が必要。
remimazolam,レミマゾラム,remimazolam,remimazolam besylate,アネレム|remimazolam,ベンゾジアゼピン系全身麻酔薬,neurocritical_care,B,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/remimazolam.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,麻酔・内視鏡/手術鎮静文脈で重要度上昇。ミダゾラム・プロポフォールとの比較で混同しやすい。
ketamine,ケタミン,ketamine,ketamine,ケタラール|NMDA antagonist,鎮痛・鎮静・麻酔薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/ketamine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,鎮痛鎮静、気管挿管、重症頭部外傷で議論される。ICPに関する古い禁忌的理解と現代解釈を混同しない。
rocuronium,ロクロニウム臭化物,rocuronium bromide,rocuronium bromide,エスラックス|neuromuscular blocker,筋弛緩薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/rocuronium.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,挿管・術中管理・ICP上昇回避に関連。鎮静鎮痛を伴わない不動化は危険であり境界明記が必要。
sugammadex,スガマデクスナトリウム,sugammadex sodium,sugammadex sodium,ブリディオン|rocuronium reversal,筋弛緩回復薬,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/sugammadex.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,ロクロニウム拮抗、術後呼吸安全に関連。腎機能、再クラーレ化、アナフィラキシー等を確認。
vitamin_k,ビタミンK製剤,vitamin K,phytonadione / menatetrenone etc.,フィトナジオン|メナテトレノン|warfarin reversal,ワルファリン反転補助,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/vitamin_k.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,PCCだけではワルファリン反転の持続性説明が不完全。PCC/FFP/ビタミンKの役割分離が必須。
cryoprecipitate,クリオプレシピテート,cryoprecipitate,cryoprecipitate,クリオ|低フィブリノゲン|fibrinogen source,血液製剤・低フィブリノゲン補正,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/cryoprecipitate.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_BLOOD_PRODUCT_POLICY_REQUIRED,2026-06-03,大量出血・低フィブリノゲン・DIC/周術期出血で重要。施設運用と輸血部方針依存が大きい。
red_blood_cell_concentrate,赤血球濃厚液,red blood cell concentrate,red blood cell concentrate,RBC|RCC|赤血球液|輸血,血液製剤・貧血/出血補正,reversal_hemostasis,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/red_blood_cell_concentrate.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_TRANSFUSION_POLICY_REQUIRED,2026-06-03,周術期・外傷・出血性脳卒中で重要。Hb閾値だけでなく脳虚血・循環・出血源制御を確認する必要。
albumin,アルブミン製剤,albumin preparation,human serum albumin,アルブミナー|献血アルブミン|膠質液,血液分画製剤・循環管理,neurocritical_care,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/reversal_hemostasis_blood_products/albumin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_BLOOD_PRODUCT_POLICY_REQUIRED,2026-06-03,SAH/TBI/ICU体液管理で出る。低Alb補正目的だけの安易な使用、膠質浸透圧、保険/輸血管理を分ける。
ampicillin,アンピシリン,ampicillin,ampicillin,ABPC|ビクシリン|Listeria coverage,抗菌薬・髄膜炎/リステリア対応,cns_infection,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/ampicillin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSGN_MENINGITIS_GL_2014,2026-06-03,成人髄膜炎、50歳以上/免疫低下/Listeria文脈で重要。セフトリアキソン/VCMだけでは不十分。
cefotaxime,セフォタキシム,cefotaxime,cefotaxime,CTX|クラフォラン|third generation cephalosporin,第3世代セフェム・髄膜炎,cns_infection,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/cefotaxime.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,JSGN_MENINGITIS_GL_2014,2026-06-03,セフトリアキソンと並ぶ髄膜炎主要第3世代セフェム。院内採用差が出るため候補止まりは不十分。
sulbactam_ampicillin,スルバクタム/アンピシリン,sulbactam/ampicillin,sulbactam sodium / ampicillin sodium,SBT/ABPC|ユナシン|誤嚥性肺炎,βラクタマーゼ阻害薬配合ペニシリン,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/sulbactam_ampicillin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,脳外病棟の誤嚥性肺炎・術後感染で頻出。髄膜炎標準薬と混同しない。
metronidazole,メトロニダゾール,metronidazole,metronidazole,MNZ|フラジール|anaerobe coverage,抗嫌気性菌薬,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/metronidazole.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,脳膿瘍、嫌気性菌、口腔/副鼻腔由来感染で文脈上重要。中枢移行性と原因菌推定を確認。
levofloxacin,レボフロキサシン,levofloxacin,levofloxacin,LVFX|クラビット|fluoroquinolone,ニューキノロン系抗菌薬,cns_infection_supportive,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/antimicrobials_cns_infection/levofloxacin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_ANTIMICROBIAL_GUIDE_REQUIRED,2026-06-03,中枢感染の第一選択ではないが、病棟感染・腎機能・QT・痙攣リスクで脳外RAGに必要。
tolvaptan,トルバプタン,tolvaptan,tolvaptan,サムスカ|V2 receptor antagonist|SIADH,V2受容体拮抗薬・水利尿薬,endocrine_electrolyte,A,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/tolvaptan.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,SIADH/低Na補正で出るが、SAH後CSWと混同すると危険。Na補正速度・適応・保険・院内運用を明示。
fludrocortisone,フルドロコルチゾン,fludrocortisone,fludrocortisone acetate,フロリネフ|mineralocorticoid|CSW,鉱質コルチコイド・低Na/CSW関連,endocrine_electrolyte,A,complete_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/fludrocortisone.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,SAH後低Na、CSW文脈で言及される。SIADHとの鑑別を強制するRAG境界が必要。
furosemide,フロセミド,furosemide,furosemide,ラシックス|loop diuretic,ループ利尿薬・体液管理,endocrine_electrolyte,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/furosemide.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,ICU体液管理、心不全、肺水腫、Na管理で頻出。脳浮腫薬としての誤用を避ける。
levothyroxine,レボチロキシン,levothyroxine,levothyroxine sodium,チラーヂンS|thyroid hormone,甲状腺ホルモン薬,endocrine_electrolyte,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/endocrine_electrolyte/levothyroxine.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,下垂体・視床下部疾患、周術期内分泌評価で必要。副腎不全未補正での甲状腺ホルモン投与リスクを境界化。
landiolol,ランジオロール塩酸塩,landiolol hydrochloride,landiolol hydrochloride,オノアクト|ultra-short acting beta blocker,短時間作用型β1遮断薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/landiolol.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期頻脈・AF・血圧管理で重要。低血圧/徐脈により脳灌流圧を悪化させうる。
esmolol,エスモロール塩酸塩,esmolol hydrochloride,esmolol hydrochloride,ブレビブロック|short acting beta blocker,短時間作用型β遮断薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/esmolol.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期循環管理で文脈上必要。ランジオロールとの国内採用・薬事差を確認。
nitroglycerin,ニトログリセリン,nitroglycerin,nitroglycerin,ミリスロール|nitric oxide donor,硝酸薬・降圧/冠血管拡張,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/nitroglycerin.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,周術期・ICU降圧で出る。ICP/脳灌流圧への影響、ニカルジピン等との使い分けが必要。
nitroprusside,ニトロプルシドナトリウム,sodium nitroprusside,sodium nitroprusside,ニトプロ|nitroprusside,血管拡張薬・降圧薬,neurocritical_care_circulation,B,candidate_only_master_absent,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neurocritical_care_anesthesia/nitroprusside.md,False,unresolved_manual_review_required,custom_gpt_safe_boundary_only,True,True,True,LOCAL_PRODUCT_CONFIRMATION_REQUIRED,2026-06-03,急速降圧文脈で出るが、脳圧・シアン中毒等の安全境界が必要。施設採用確認必須。
