drug_key,japanese_name,english_name,generic_name,synonyms,drug_class,domain,priority,gap_type,profile_path,pmda_product_level_verified,source_status,knowledge_layer_status,human_review_required,facility_confirmation_required,operator_side_required,source_ids,last_source_check_date,why,product_examples,efficacy_examples,efficacy_or_context_examples,why_added,safety_focus
st_smx_pcp_prophylaxis,ST合剤PCP予防文脈,sulfamethoxazole trimethoprim,sulfamethoxazole trimethoprim,TMP-SMX|co-trimoxazole|PCP,,neuro_oncology,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/st_smx_pcp_prophylaxis.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,バクタ等,,テモゾロミド放射線併用時などのPCP予防,元候補にあっても、脳腫瘍支持療法として文脈分離が必要。,皮疹、骨髄抑制、高K、腎機能、代替薬
antiemetic_5ht3_context,5-HT3受容体拮抗薬 制吐文脈,5-HT3 receptor antagonists,5-HT3 receptor antagonists,ondansetron|granisetron|palonosetron,,neuro_oncology,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/antiemetic_5ht3_context.md,false,unresolved_manual_review_required,class_context_note_required,true,true,,,,,オンダンセトロン等,,テモゾロミド等の制吐支持療法,抗がん剤支持療法として必要。薬剤個別は院内採用品確認。,QT延長、便秘、制吐リスク分類
hbv_reactivation_neurooncology_note,HBV再活性化対策note,HBV reactivation prophylaxis/monitoring,HBV reactivation prophylaxis/monitoring,HBsAg|HBcAb|HBsAb|entecavir|tenofovir,,neuro_oncology,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/neuro_oncology/hbv_reactivation_neurooncology_note.md,false,unresolved_manual_review_required,safety_protocol_note_required,true,true,,,,,エンテカビル等は別途確認,,リツキシマブ・化学療法・ステロイド時のHBV再活性化,脳腫瘍化学療法で見落とすと重大。薬剤個別よりスクリーニング手順が重要。,HBVスクリーニング、核酸アナログ、肝臓専門医連携
cabergoline,カベルゴリン,cabergoline,cabergoline,Cabaser,,pituitary_endocrine,S,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/cabergoline.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,カバサール等,,プロラクチノーマ,プロラクチノーマ薬物療法の中核。,弁膜症、妊娠、精神症状、低血圧、腫瘍縮小
bromocriptine,ブロモクリプチン,bromocriptine,bromocriptine,Parlodel,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/bromocriptine.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,パーロデル等,,プロラクチノーマ、先端巨大症等,カベルゴリン代替・妊娠文脈で必要。,悪心、起立性低血圧、精神症状、妊娠
octreotide,オクトレオチド,octreotide,octreotide,Sandostatin,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/octreotide.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,サンドスタチン等,,先端巨大症、消化管ホルモン腫瘍等,ソマトスタチンアナログ文脈。,胆石、血糖変動、徐脈、甲状腺機能
lanreotide,ランレオチド,lanreotide,lanreotide,Somatuline,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/lanreotide.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,ソマチュリン等,,先端巨大症等,ソマトスタチンアナログ長時間型。,胆石、血糖変動、注射部位反応
pasireotide,パシレオチド,pasireotide,pasireotide,Signifor,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/pasireotide.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,シグニフォー等,,クッシング病等,高血糖リスクが大きく、下垂体薬として必要。,高血糖、QT延長、肝機能、胆石
pegvisomant,ペグビソマント,pegvisomant,pegvisomant,Somavert,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/pegvisomant.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,ソマバート等,,先端巨大症,GH受容体拮抗薬。IGF-1評価が必要。,肝機能、腫瘍増大監視、IGF-1
metyrapone,メチラポン,metyrapone,metyrapone,Metopirone,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/metyrapone.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,メトピロン等,,クッシング症候群/病,コルチゾール合成阻害薬。副腎不全リスク。,副腎不全、低K、高血圧、アンドロゲン増加
osilodrostat,オシロドロスタット,osilodrostat,osilodrostat,Isturisa,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/osilodrostat.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,イスツリサ等,,クッシング病,新規性が高く安全確認が必要。,副腎不全、QT延長、低K、肝機能
postop_di_desmopressin_note,術後尿崩症デスモプレシンnote,desmopressin postoperative DI note,desmopressin postoperative DI note,DDAVP|central diabetes insipidus,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/postop_di_desmopressin_note.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,デスモプレシン製剤,,下垂体・頭蓋底術後尿崩症,既存薬剤でも術後DI文脈の安全境界が必要。,水中毒、低Na、投与経路、尿量/Na監視
adrenal_insufficiency_stress_steroid_note,副腎不全・周術期ステロイドnote,adrenal insufficiency stress steroid note,adrenal insufficiency stress steroid note,stress dose|hydrocortisone,,pituitary_endocrine,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/pituitary_endocrine/adrenal_insufficiency_stress_steroid_note.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,ヒドロコルチゾン等,,下垂体術後・副腎不全・周術期補充,既存ステロイドを文脈分離しないと危険。,副腎クリーゼ、感染、高血糖、漸減
intraventricular_vancomycin_note,バンコマイシン脳室内投与note,intraventricular vancomycin note,intraventricular vancomycin note,IVT vancomycin|intraventricular,,healthcare_associated_cns_infection,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/intraventricular_vancomycin_note.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,バンコマイシン,,脳室炎・シャント感染の特殊投与,静注バンコマイシンと混同不可。施設手順必須。,感染症科/脳外/薬剤部承認、濃度、無菌調製、神経毒性
gentamicin,ゲンタマイシン,gentamicin,gentamicin,gentamycin,,healthcare_associated_cns_infection,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/gentamicin.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,ゲンタシン等,,医療関連脳室炎・髄膜炎の特殊使用,脳室内/髄注文脈で出る可能性。,TDM、腎毒性、聴器毒性、投与経路
amikacin,アミカシン,amikacin,amikacin,AMK,,healthcare_associated_cns_infection,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/amikacin.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,アミカシン等,,MDRグラム陰性菌の中枢感染特殊使用,標準薬ではなく感受性・専門判断文脈。,TDM、腎毒性、聴器毒性
tobramycin,トブラマイシン,tobramycin,tobramycin,TOB,,healthcare_associated_cns_infection,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/tobramycin.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,トブラシン等,,MDRグラム陰性菌の中枢感染特殊使用,特殊noteとして必要。,TDM、腎毒性、聴器毒性
colistin,コリスチン,colistin,colistin,colistimethate,,healthcare_associated_cns_infection,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/colistin.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,オルドレブ等,,XDRグラム陰性菌中枢感染の特殊使用,最後の選択肢的薬剤。誤提示は危険。,腎毒性、神経毒性、用量単位、専門判断
polymyxin_b,ポリミキシンB,polymyxin B,polymyxin B,PMB,,healthcare_associated_cns_infection,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/polymyxin_b.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,ポリミキシンB等,,XDRグラム陰性菌中枢感染の特殊使用,特殊感染症文脈。,腎毒性、神経毒性、専門判断
rifampicin_device_infection,リファンピシン デバイス感染note,rifampicin device infection note,rifampicin device infection note,rifampin|RFP,,healthcare_associated_cns_infection,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/rifampicin_device_infection.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,リファジン等,,シャント/デバイス感染・バイオフィルム,単剤使用禁止・相互作用が重要。,CYP誘導、単剤耐性化、肝障害、抗凝固薬相互作用
evd_vp_shunt_infection_note,EVD/VPシャント感染note,EVD VP shunt infection note,EVD VP shunt infection note,ventriculitis|CSF shunt,,healthcare_associated_cns_infection,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/healthcare_associated_cns_infection/evd_vp_shunt_infection_note.md,false,unresolved_manual_review_required,context_or_specialist_note_required,true,true,,,,,該当なし,,医療関連脳室炎・シャント感染,通常髄膜炎と分ける安全noteが必要。,デバイス抜去/交換、培養、抗菌薬移行性、施設手順
papaverine_ia,パパベリン動注note,intra-arterial papaverine,intra-arterial papaverine,IA papaverine,,vasospasm_endovascular_procedural,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/papaverine_ia.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,未確定,,SAH血管攣縮の血管内治療・historical/procedural,標準静注薬と混同不可。,頭蓋内圧上昇、神経毒性、施設プロトコル
verapamil_ia,ベラパミル動注note,intra-arterial verapamil,intra-arterial verapamil,IA verapamil,,vasospasm_endovascular_procedural,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/verapamil_ia.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,ワソラン等,,血管攣縮の血管内治療文脈,心血管薬としての通常投与と区別。,血圧低下、徐脈、専門手技
nicardipine_ia_it_context,ニカルジピン動注/髄腔内投与note,nicardipine intra-arterial/intrathecal context,nicardipine intra-arterial/intrathecal context,IA nicardipine|intrathecal nicardipine,,vasospasm_endovascular_procedural,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/nicardipine_ia_it_context.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,ペルジピン等,,血管攣縮局所治療文脈,降圧薬profileとは別noteが必要。,標準治療と断定しない、施設プロトコル必須
milrinone_ia_iv_vasospasm,ミルリノン静注/動注文脈note,milrinone vasospasm context,milrinone vasospasm context,milrinone vasospasm|MILRISPASM,,vasospasm_endovascular_procedural,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/milrinone_ia_iv_vasospasm.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,ミルリーラ等,,SAH血管攣縮/DCI文脈,心不全薬としてのミルリノンと区別。,低血圧、不整脈、腎機能、専門判断
phenylephrine,フェニレフリン,phenylephrine,phenylephrine,PE,,vasospasm_endovascular_procedural,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/phenylephrine.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,ネオシネジン等,,DCI/麻酔中昇圧文脈,昇圧薬class補完。,過度昇圧、徐脈、末梢虚血
norepinephrine_dci_context,ノルアドレナリンDCI昇圧note,norepinephrine DCI context,norepinephrine DCI context,noradrenaline|NE,,vasospasm_endovascular_procedural,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/vasospasm_endovascular_procedural/norepinephrine_dci_context.md,false,unresolved_manual_review_required,procedural_context_note_required,true,true,,,,,ノルアドリナリン等,,DCI管理・昇圧療法文脈,既存薬でもDCI文脈を分ける。,血圧目標、心負荷、施設プロトコル
aminolevulinic_acid_5ala,5-ALA / アミノレブリン酸,aminolevulinic acid,aminolevulinic acid,5-ALA|ALA|Alabel,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/aminolevulinic_acid_5ala.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,アラベル等,,悪性神経膠腫手術の蛍光診断,術中可視化薬として重要。,光線過敏、肝機能、併用薬、遮光
indocyanine_green,インドシアニングリーン / ICG,indocyanine green,indocyanine green,ICG,,perioperative_visualization_contrast,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/indocyanine_green.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,ジアグノグリーン等,,脳血管手術の蛍光血管撮影,術中血管評価で重要。,ショック、過敏症、ヨード過敏確認、肝機能
fluorescein_sodium,フルオレセインナトリウム,fluorescein sodium,fluorescein sodium,fluorescein,,perioperative_visualization_contrast,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/fluorescein_sodium.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,フルオレサイト等,,腫瘍・血管可視化の施設使用文脈,国内適応・院内手順確認が必要。,アナフィラキシー、皮膚黄染、施設手順
iodinated_contrast_class,ヨード造影剤class,iodinated contrast media class,iodinated contrast media class,iodine contrast|CTA|DSA,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/iodinated_contrast_class.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,イオパミロン、オムニパーク等,,CTA/血管造影/CT造影,薬剤師RAGで腎機能・アレルギー・メトホルミン確認が必須。,腎機能、過敏症、甲状腺、メトホルミン、血管外漏出
gadolinium_contrast_class,ガドリニウム造影剤class,gadolinium contrast media class,gadolinium contrast media class,Gd contrast|GBCA,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/gadolinium_contrast_class.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,ガドビスト、マグネビスト等,,MRI造影,NSF・腎機能・線状/大環状の説明が必要。,eGFR、NSF、蓄積、妊娠授乳、過敏症
contrast_allergy_premed_note,造影剤アレルギー前投薬note,contrast allergy premedication note,contrast allergy premedication note,premedication,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/contrast_allergy_premed_note.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,ステロイド、抗ヒスタミン薬等,,造影剤過敏症既往への対応,造影可否判断と緊急対応をRAGで混同しない。,前投薬で完全予防不可、緊急対応、リスク層別化
metformin_iodinated_contrast_note,メトホルミンとヨード造影剤note,metformin iodinated contrast note,metformin iodinated contrast note,metformin contrast,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/metformin_iodinated_contrast_note.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,メトホルミン製剤,,ヨード造影時の乳酸アシドーシスリスク管理,脳外造影検査で薬剤師が確認すべき代表。,eGFR、AKI、休薬/再開、施設基準
gadolinium_nsf_macrocyclic_note,ガドリニウムNSF・大環状/線状note,gadolinium NSF macrocyclic linear note,gadolinium NSF macrocyclic linear note,NSF|macrocyclic|linear GBCA,,perioperative_visualization_contrast,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/perioperative_visualization_contrast/gadolinium_nsf_macrocyclic_note.md,false,unresolved_manual_review_required,procedure_safety_note_required,true,true,,,,,GBCA各種,,腎機能低下時MRI造影安全性,GBCAを一括扱いしないため。,eGFR、透析、線状/大環状、蓄積説明
baclofen,バクロフェン,baclofen,baclofen,Lioresal,,spasticity_functional_neurosurgery,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/baclofen.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,リオレサール等,,痙縮管理,脳卒中後痙縮・脊髄疾患で重要。,眠気、筋力低下、腎機能、離脱
intrathecal_baclofen_note,髄腔内バクロフェンnote,intrathecal baclofen note,intrathecal baclofen note,ITB|baclofen pump,,spasticity_functional_neurosurgery,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/intrathecal_baclofen_note.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,ギャバロン髄注等,,ITBポンプ管理,離脱・過量が生命危険。,離脱症候群、過量、ポンプトラブル、緊急対応
botulinum_toxin,ボツリヌス毒素製剤,botulinum toxin,botulinum toxin,BoNT|Botox,,spasticity_functional_neurosurgery,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/botulinum_toxin.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,ボトックス、ゼオマイン等,,脳卒中後痙縮、ジストニア,製剤単位換算禁止が重要。,製剤間単位換算禁止、嚥下障害、筋力低下、抗体
tizanidine,チザニジン,tizanidine,tizanidine,Ternelin,,spasticity_functional_neurosurgery,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/tizanidine.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,テルネリン等,,痙縮・筋緊張管理,中枢性筋弛緩薬として補完。,眠気、低血圧、肝障害、CYP1A2相互作用
dantrolene,ダントロレン,dantrolene,dantrolene,Dantrium,,spasticity_functional_neurosurgery,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/dantrolene.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,ダントリウム等,,痙縮、悪性症候群/悪性高熱文脈,重症神経・麻酔関連で出る。,肝障害、筋力低下、呼吸筋、悪性高熱
levodopa_carbidopa,レボドパ/カルビドパ,levodopa carbidopa,levodopa carbidopa,L-dopa|carbidopa,,spasticity_functional_neurosurgery,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/levodopa_carbidopa.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,メネシット等,,DBS周術期、パーキンソン病薬継続,中断リスクが高い。,悪性症候群様症状、嚥下不可時対応、幻覚
dopamine_agonists_context,ドパミンアゴニストDBS周術期note,dopamine agonists context,dopamine agonists context,pramipexole|ropinirole|rotigotine,,spasticity_functional_neurosurgery,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/dopamine_agonists_context.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,プラミペキソール、ロピニロール等,,DBS周術期・機能的脳外,中断・過量・精神症状リスク。,突発睡眠、幻覚、衝動制御障害、離脱
dbs_perioperative_antiparkinson_note,DBS周術期抗パーキンソン薬note,DBS perioperative antiparkinson medication note,DBS perioperative antiparkinson medication note,DBS|deep brain stimulation,,spasticity_functional_neurosurgery,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/spasticity_functional_neurosurgery/dbs_perioperative_antiparkinson_note.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,該当なし,,DBS術前後の薬剤調整,薬剤中断リスクをRAGが落とさないため。,中断、嚥下不可、悪性症候群様症状、神経内科連携
acetazolamide,アセタゾラミド,acetazolamide,acetazolamide,Diamox|IIH,,csf_iih,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/csf_iih/acetazolamide.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,ダイアモックス等,,特発性頭蓋内圧亢進症、髄液産生抑制文脈,ICP/CSF領域でV2に薄かった穴。,腎機能、低K/代謝性アシドーシス、尿路結石、サルファ過敏
isosorbide_oral,イソソルビド内用液,isosorbide,isosorbide,Isobide,,csf_iih,B,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/csf_iih/isosorbide_oral.md,false,unresolved_manual_review_required,active_profile_required,true,true,,,,,イソバイド等,,浸透圧利尿、脳圧/内耳系文脈,脳圧・浮腫関連で施設により出る。,脱水、電解質、腎機能、糖尿病
dexamethasone_tumor_edema_context,デキサメタゾン腫瘍浮腫文脈note,dexamethasone tumor edema context,dexamethasone tumor edema context,Decadron,,csf_iih,A,,02_DRUG_PROFILES_SAFE_KNOWLEDGE/csf_iih/dexamethasone_tumor_edema_context.md,false,unresolved_manual_review_required,context_note_required,true,true,,,,,デカドロン等,,脳腫瘍周辺浮腫、転移性脳腫瘍,既存ステロイドを腫瘍浮腫・感染補助・制吐・内分泌で分ける必要。,高血糖、感染、消化管、筋症、漸減、副腎抑制
